frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,150128.845876041,150128.936602125,150129.03270937433,150128937284708
512,512,0,150128.85654270768,150128.936602125,150129.043376041,150128937393875
1024,512,0,150128.86720937435,150128.936602125,150129.05404270766,150128937457375
1536,512,0,150128.87787604102,150128.936602125,150129.06470937433,150128937506875
2048,512,0,150128.8885427077,150128.936602125,150129.075376041,150128937557541
2560,512,0,150128.89920937436,150128.936602125,150129.08604270767,150128937610333
3072,512,0,150128.90987604103,150128.936602125,150129.09670937434,150128937659583
3584,512,0,150128.9205427077,150128.936602125,150129.107376041,150128937705875
4096,512,0,150128.93120937503,150129.02271008302,150129.11804270835,150129022986250
4608,512,0,150128.9418760417,150129.02271008302,150129.128709375,150129023046833
5120,512,0,150128.95254270837,150129.02271008302,150129.13937604168,150129023106083
5632,512,0,150128.96320937504,150129.02271008302,150129.15004270835,150129023157125
6144,512,0,150128.9738760417,150129.02271008302,150129.16070937502,150129023210750
6656,512,0,150128.98454270838,150129.02271008302,150129.1713760417,150129023264041
7168,512,0,150128.99520937505,150129.02271008302,150129.18204270836,150129023317833
7680,512,0,150129.00587604172,150129.02271008302,150129.19270937503,150129023364333
8192,512,0,150129.01654270804,150129.10760462502,150129.20337604135,150129107872500
8704,512,0,150129.0272093747,150129.10760462502,150129.21404270802,150129107925125
9216,512,0,150129.03787604137,150129.10760462502,150129.22470937468,150129107975125
9728,512,0,150129.04854270804,150129.10760462502,150129.23537604135,150129108017375
10240,512,0,150129.0592093747,150129.10760462502,150129.24604270802,150129108062416
10752,512,0,150129.06987604138,150129.10760462502,150129.2567093747,150129108107083
11264,512,0,150129.08054270805,150129.10760462502,150129.26737604136,150129108152500
11776,512,0,150129.09120937472,150129.10760462502,150129.27804270803,150129108191125
12288,512,0,150129.10187604104,150129.19261220802,150129.28870937435,150129192918416
12800,512,0,150129.1125427077,150129.19261220802,150129.29937604102,150129192977916
13312,512,0,150129.12320937437,150129.19261220802,150129.3100427077,150129193047791
13824,512,0,150129.13387604104,150129.19261220802,150129.32070937435,150129193094625
14336,512,0,150129.1445427077,150129.19261220802,150129.33137604102,150129193148583
14848,512,0,150129.15520937438,150129.19261220802,150129.3420427077,150129193199666
15360,512,0,150129.16587604105,150129.19261220802,150129.35270937436,150129193252208
15872,512,0,150129.17654270772,150129.19261220802,150129.36337604103,150129193297333
16384,512,0,150129.18720937503,150129.277995916,150129.37404270834,150129278359375
16896,512,0,150129.1978760417,150129.277995916,150129.384709375,150129278457958
17408,512,0,150129.20854270837,150129.277995916,150129.39537604168,150129278560125
17920,512,0,150129.21920937503,150129.277995916,150129.40604270835,150129278639958
18432,512,0,150129.2298760417,150129.277995916,150129.41670937501,150129278730041
18944,512,0,150129.24054270837,150129.277995916,150129.42737604168,150129278818166
19456,512,0,150129.25120937504,150129.277995916,150129.43804270835,150129278947958
19968,512,0,150129.2618760417,150129.277995916,150129.44870937502,150129279027958
20480,512,0,150129.272544625,150129.363358666,150129.45937795832,150129363739000
20992,512,0,150129.28321129168,150129.363358666,150129.470044625,150129363841583
21504,512,0,150129.29387795835,150129.363358666,150129.48071129166,150129363945458
22016,512,0,150129.30454462502,150129.363358666,150129.49137795833,150129364027833
22528,512,0,150129.3152112917,150129.363358666,150129.502044625,150129364118750
